"","Year","ZIP.code","age","Number.of.Visits","Age.adjusted.rate","County.Fips.code","County"
"11980",2012,93552,"adult",94,36.3999939,6037,"los angeles"
"11981",2012,95330,"child",47,78.69995117,6077,"san joaquin"
"11982",2013,95864,"adult",60,35.4,6067,"sacramento"
"11983",2013,91755,"adult",30,13.9,6037,"los angeles"
"11984",2014,95476,"child",20,28.4,6097,"sonoma"
"11985",2012,90044,"adult",503,81.19995117,6037,"los angeles"
"11986",2009,94502,"adult",17,17.8999939,6001,"alameda"
"11987",2009,90638,"adult",92,25.19999695,6037,"los angeles"
"11988",2014,93313,"child",121,84.4,6029,"kern"
"11989",2009,90631,"adult",148,30.19999695,6059,"orange"
"11990",2016,95616,"child",23,44.1,6113,"yolo"
"11991",2015,95351,"child",185,125,6099,"stanislaus"
