Year,ZIP code,Age Group,Number of Visits,Age-adjusted rate,County Fips code,County
2009,90260,Adults (18+),118,50.19998169,6037,Los Angeles
2009,90260,All Ages,237,65.09997559,6037,Los Angeles
2009,90260,Children (0-17),119,108.1999512,6037,Los Angeles
2009,90262,Adults (18+),205,51.59997559,6037,Los Angeles
2009,90262,All Ages,420,59.09997559,6037,Los Angeles
2009,90262,Children (0-17),215,80.89996338,6037,Los Angeles
2009,90265,Adults (18+),17,10.59999847,6037,Los Angeles
2009,90265,All Ages,23,12.09999847,6037,Los Angeles
2009,90265,Children (0-17),,,6037,Los Angeles
2009,90266,Adults (18+),40,16.69999695,6037,Los Angeles
2009,90266,All Ages,58,18.19999695,6037,Los Angeles
2009,90266,Children (0-17),18,22.69999695,6037,Los Angeles
2009,90270,Adults (18+),74,55.59997559,6037,Los Angeles
2009,90270,All Ages,143,57.3999939,6037,Los Angeles
2009,90270,Children (0-17),69,62.3999939,6037,Los Angeles
2009,90272,Adults (18+),15,9.599998474,6037,Los Angeles
2009,90272,All Ages,23,10.8999939,6037,Los Angeles
2009,90272,Children (0-17),,,6037,Los Angeles
2009,90274,Adults (18+),16,8.199996948,6037,Los Angeles
2009,90274,All Ages,26,11,6037,Los Angeles
2009,90274,Children (0-17),,,6037,Los Angeles
2009,90275,Adults (18+),42,13.09999847,6037,Los Angeles
2009,90275,All Ages,63,16,6037,Los Angeles
2009,90275,Children (0-17),21,24.29998779,6037,Los Angeles
2009,90277,Adults (18+),41,14.29999542,6037,Los Angeles
2009,90277,All Ages,62,20.5,6037,Los Angeles
2009,90277,Children (0-17),21,38.3999939,6037,Los Angeles
2009,90278,Adults (18+),75,25.69999695,6037,Los Angeles
2009,90278,All Ages,108,29.29998779,6037,Los Angeles
2009,90278,Children (0-17),33,39.5,6037,Los Angeles
2009,90280,Adults (18+),203,36.3999939,6037,Los Angeles
2009,90280,All Ages,450,44.59997559,6037,Los Angeles
2009,90280,Children (0-17),247,68.19995117,6037,Los Angeles
2009,90291,Adults (18+),60,22.09999085,6037,Los Angeles
2009,90291,All Ages,83,29.59999085,6037,Los Angeles
2009,90291,Children (0-17),23,51.09997559,6037,Los Angeles
2009,90292,Adults (18+),51,30.29998779,6037,Los Angeles
2009,90292,All Ages,56,28.69999695,6037,Los Angeles
2009,90292,Children (0-17),,,6037,Los Angeles
2009,90293,Adults (18+),14,14.09999847,6037,Los Angeles
2009,90293,All Ages,19,21.79998779,6037,Los Angeles
2009,90293,Children (0-17),,,6037,Los Angeles
2009,90301,Adults (18+),190,69.09997559,6037,Los Angeles
2009,90301,All Ages,308,75.19995117,6037,Los Angeles
2009,90301,Children (0-17),118,93,6037,Los Angeles
2009,90302,Adults (18+),138,63.8999939,6037,Los Angeles
2009,90302,All Ages,244,75.19995117,6037,Los Angeles
2009,90302,Children (0-17),106,107.7999878,6037,Los Angeles
2009,90303,Adults (18+),109,64.29998779,6037,Los Angeles
2009,90303,All Ages,213,76.5,6037,Los Angeles
2009,90303,Children (0-17),104,111.7999878,6037,Los Angeles
2009,90304,Adults (18+),77,43.5,6037,Los Angeles
2009,90304,All Ages,159,51.69998169,6037,Los Angeles
2009,90304,Children (0-17),82,75.29998779,6037,Los Angeles
2009,90305,Adults (18+),71,58.19998169,6037,Los Angeles
2009,90305,All Ages,126,84.39996338,6037,Los Angeles
2009,90305,Children (0-17),55,159.8999023,6037,Los Angeles
2009,90401,Adults (18+),47,83,6037,Los Angeles
2009,90401,All Ages,49,69.59997559,6037,Los Angeles
2009,90401,Children (0-17),,,6037,Los Angeles
2009,90403,Adults (18+),42,21.09999085,6037,Los Angeles
2009,90403,All Ages,55,28.19999695,6037,Los Angeles
2009,90403,Children (0-17),13,48.79998779,6037,Los Angeles
2009,90404,Adults (18+),86,45.29998779,6037,Los Angeles
2009,90404,All Ages,113,52.8999939,6037,Los Angeles
2009,90404,Children (0-17),27,74.69995117,6037,Los Angeles
2009,90405,Adults (18+),62,34.3999939,6037,Los Angeles
2009,90405,All Ages,77,36.19998169,6037,Los Angeles
2009,90405,Children (0-17),15,41.09997559,6037,Los Angeles
2009,90501,Adults (18+),94,30.3999939,6037,Los Angeles
2009,90501,All Ages,193,44.8999939,6037,Los Angeles
2009,90501,Children (0-17),99,86.5,6037,Los Angeles
2009,90502,Adults (18+),53,39,6037,Los Angeles
2009,90502,All Ages,76,43,6037,Los Angeles
2009,90502,Children (0-17),23,54.59997559,6037,Los Angeles
2009,90503,Adults (18+),58,16.3999939,6037,Los Angeles
2009,90503,All Ages,105,25.29998779,6037,Los Angeles
2009,90503,Children (0-17),47,50.8999939,6037,Los Angeles
2009,90504,Adults (18+),59,22.3999939,6037,Los Angeles
2009,90504,All Ages,108,34.5,6037,Los Angeles
2009,90504,Children (0-17),49,69.39996338,6037,Los Angeles
2009,90505,Adults (18+),50,17,6037,Los Angeles
2009,90505,All Ages,70,19.3999939,6037,Los Angeles
2009,90505,Children (0-17),20,26.29998779,6037,Los Angeles
2009,90601,Adults (18+),97,40.79998779,6037,Los Angeles
2009,90601,All Ages,209,63.8999939,6037,Los Angeles
2009,90601,Children (0-17),112,130.3999023,6037,Los Angeles
2009,90602,Adults (18+),146,83.39996338,6037,Los Angeles
2009,90602,All Ages,202,79.59997559,6037,Los Angeles
2009,90602,Children (0-17),56,68.59997559,6037,Los Angeles
2009,90603,Adults (18+),37,25.59999085,6037,Los Angeles
2009,90603,All Ages,62,33.19998169,6037,Los Angeles
2009,90603,Children (0-17),25,54.8999939,6037,Los Angeles
2009,90604,Adults (18+),150,50,6037,Los Angeles
2009,90604,All Ages,280,65.69995117,6037,Los Angeles
2009,90604,Children (0-17),130,110.6999512,6037,Los Angeles
2009,90605,Adults (18+),116,39.69998169,6037,Los Angeles
2009,90605,All Ages,269,61.3999939,6037,Los Angeles
2009,90605,Children (0-17),153,123.6999512,6037,Los Angeles
2009,90606,Adults (18+),116,50.3999939,6037,Los Angeles
2009,90606,All Ages,216,62.59997559,6037,Los Angeles
2009,90606,Children (0-17),100,97.89996338,6037,Los Angeles
2009,90620,Adults (18+),135,39.8999939,6059,Orange
2009,90620,All Ages,221,48.09997559,6059,Orange
2009,90620,Children (0-17),86,71.59997559,6059,Orange
2009,90621,Adults (18+),75,31.59999085,6059,Orange
2009,90621,All Ages,156,42.3999939,6059,Orange
2009,90621,Children (0-17),81,73.5,6059,Orange
2009,90623,Adults (18+),31,24.5,6059,Orange
2009,90623,All Ages,50,33,6059,Orange
2009,90623,Children (0-17),19,57.5,6059,Orange
2009,90630,Adults (18+),77,21.8999939,6059,Orange
2009,90630,All Ages,123,26.69999695,6059,Orange
2009,90630,Children (0-17),46,40.5,6059,Orange
2009,90631,Adults (18+),148,30.19999695,6059,Orange
2009,90631,All Ages,270,38.69998169,6059,Orange
2009,90631,Children (0-17),122,63.29998779,6059,Orange
2009,90638,Adults (18+),92,25.19999695,6037,Los Angeles
2009,90638,All Ages,167,35.5,6037,Los Angeles
2009,90638,Children (0-17),75,64.89996338,6037,Los Angeles
2009,90640,Adults (18+),214,45.19998169,6037,Los Angeles
2009,90640,All Ages,319,48.09997559,6037,Los Angeles
2009,90640,Children (0-17),105,56.69998169,6037,Los Angeles
2009,90650,Adults (18+),328,43.09997559,6037,Los Angeles
2009,90650,All Ages,627,54.69998169,6037,Los Angeles
2009,90650,Children (0-17),299,88.29998779,6037,Los Angeles
2009,90660,Adults (18+),211,46.5,6037,Los Angeles
2009,90660,All Ages,353,52.59997559,6037,Los Angeles
2009,90660,Children (0-17),142,69.89996338,6037,Los Angeles
2009,90670,Adults (18+),36,30.5,6037,Los Angeles
2009,90670,All Ages,79,48.59997559,6037,Los Angeles
2009,90670,Children (0-17),43,100.5,6037,Los Angeles
2009,90680,Adults (18+),101,45.3999939,6059,Orange
2009,90680,All Ages,172,52.09997559,6059,Orange
2009,90680,Children (0-17),71,71.5,6059,Orange
2009,90701,Adults (18+),31,22.69999695,6037,Los Angeles
2009,90701,All Ages,57,31.79998779,6037,Los Angeles
2009,90701,Children (0-17),26,57.8999939,6037,Los Angeles
2009,90703,Adults (18+),89,21.79998779,6037,Los Angeles
2009,90703,All Ages,147,31.19999695,6037,Los Angeles
2009,90703,Children (0-17),58,58.09997559,6037,Los Angeles
2009,90704,Adults (18+),,,6037,Los Angeles
2009,90704,All Ages,17,39.3999939,6037,Los Angeles
2009,90704,Children (0-17),,,6037,Los Angeles
2009,90706,Adults (18+),285,53.09997559,6037,Los Angeles
2009,90706,All Ages,540,65.89996338,6037,Los Angeles
2009,90706,Children (0-17),255,102.6999512,6037,Los Angeles
2009,90710,Adults (18+),72,35.3999939,6037,Los Angeles
2009,90710,All Ages,128,44.3999939,6037,Los Angeles
2009,90710,Children (0-17),56,70.39996338,6037,Los Angeles
2009,90712,Adults (18+),94,38.5,6037,Los Angeles
2009,90712,All Ages,152,46.5,6037,Los Angeles
2009,90712,Children (0-17),58,69.39996338,6037,Los Angeles
2009,90713,Adults (18+),65,33.19998169,6037,Los Angeles
2009,90713,All Ages,106,39.59997559,6037,Los Angeles
2009,90713,Children (0-17),41,58.09997559,6037,Los Angeles
2009,90715,Adults (18+),68,44.79998779,6037,Los Angeles
2009,90715,All Ages,130,61.09997559,6037,Los Angeles
2009,90715,Children (0-17),62,108.0999756,6037,Los Angeles
2009,90716,Adults (18+),47,45,6037,Los Angeles
2009,90716,All Ages,90,54.19998169,6037,Los Angeles
2009,90716,Children (0-17),43,80.89996338,6037,Los Angeles
2009,90717,Adults (18+),52,31.19999695,6037,Los Angeles
2009,90717,All Ages,74,34.09997559,6037,Los Angeles
2009,90717,Children (0-17),22,42.29998779,6037,Los Angeles
2009,90720,Adults (18+),44,27.19999695,6059,Orange
2009,90720,All Ages,61,30.29998779,6059,Orange
2009,90720,Children (0-17),17,39.19998169,6059,Orange
2009,90723,Adults (18+),168,49.59997559,6037,Los Angeles
2009,90723,All Ages,344,57.8999939,6037,Los Angeles
2009,90723,Children (0-17),176,81.69995117,6037,Los Angeles
2009,90731,Adults (18+),225,47.3999939,6037,Los Angeles
2009,90731,All Ages,375,58.3999939,6037,Los Angeles
2009,90731,Children (0-17),150,90.29998779,6037,Los Angeles
2009,90732,Adults (18+),45,29.09999085,6037,Los Angeles
2009,90732,All Ages,63,32.5,6037,Los Angeles
2009,90732,Children (0-17),18,42.29998779,6037,Los Angeles
2009,90740,Adults (18+),34,16.29998779,6059,Orange
2009,90740,All Ages,44,20.69999695,6059,Orange
2009,90740,Children (0-17),,,6059,Orange
2009,90744,Adults (18+),105,34.19998169,6037,Los Angeles
2009,90744,All Ages,248,43.5,6037,Los Angeles
2009,90744,Children (0-17),143,70.39996338,6037,Los Angeles
2009,90745,Adults (18+),171,39,6037,Los Angeles
2009,90745,All Ages,285,47.3999939,6037,Los Angeles
2009,90745,Children (0-17),114,71.59997559,6037,Los Angeles
2009,90746,Adults (18+),104,50.09997559,6037,Los Angeles
2009,90746,All Ages,173,63.79998779,6037,Los Angeles
2009,90746,Children (0-17),69,103.5,6037,Los Angeles
2009,90755,Adults (18+),20,28,6037,Los Angeles
2009,90755,All Ages,38,38.3999939,6037,Los Angeles
2009,90755,Children (0-17),18,68.29998779,6037,Los Angeles
2009,90802,Adults (18+),159,47.3999939,6037,Los Angeles
2009,90802,All Ages,216,50.5,6037,Los Angeles
2009,90802,Children (0-17),57,59.59997559,6037,Los Angeles
2009,90803,Adults (18+),59,21.29998779,6037,Los Angeles
2009,90803,All Ages,86,33.79998779,6037,Los Angeles
2009,90803,Children (0-17),27,69.59997559,6037,Los Angeles
2009,90804,Adults (18+),187,61.19998169,6037,Los Angeles
2009,90804,All Ages,280,64.19995117,6037,Los Angeles
2009,90804,Children (0-17),93,72.79998779,6037,Los Angeles
2009,90805,Adults (18+),410,65.39996338,6037,Los Angeles
2009,90805,All Ages,783,77.19995117,6037,Los Angeles
2009,90805,Children (0-17),373,111.0999756,6037,Los Angeles
2009,90806,Adults (18+),187,65.5,6037,Los Angeles
2009,90806,All Ages,331,72.5,6037,Los Angeles
2009,90806,Children (0-17),144,92.79998779,6037,Los Angeles
2009,90807,Adults (18+),69,29.79998779,6037,Los Angeles
2009,90807,All Ages,111,37.59997559,6037,Los Angeles
2009,90807,Children (0-17),42,60,6037,Los Angeles
2009,90808,Adults (18+),82,30.3999939,6037,Los Angeles
2009,90808,All Ages,124,34.5,6037,Los Angeles
2009,90808,Children (0-17),42,46.29998779,6037,Los Angeles
2009,90810,Adults (18+),123,45.59997559,6037,Los Angeles
2009,90810,All Ages,254,61.19998169,6037,Los Angeles
2009,90810,Children (0-17),131,106,6037,Los Angeles
2009,90813,Adults (18+),407,112.6999512,6037,Los Angeles
2009,90813,All Ages,631,106.8999634,6037,Los Angeles
2009,90813,Children (0-17),224,89.89996338,6037,Los Angeles
2009,90814,Adults (18+),41,28.29998779,6037,Los Angeles
2009,90814,All Ages,65,39,6037,Los Angeles
2009,90814,Children (0-17),24,69.89996338,6037,Los Angeles
2009,90815,Adults (18+),91,29.09999085,6037,Los Angeles
2009,90815,All Ages,119,30.5,6037,Los Angeles
2009,90815,Children (0-17),28,34.69998169,6037,Los Angeles
2009,91001,Adults (18+),136,49.59997559,6037,Los Angeles
2009,91001,All Ages,208,56,6037,Los Angeles
2009,91001,Children (0-17),72,74.5,6037,Los Angeles
2009,91006,Adults (18+),42,17,6037,Los Angeles
2009,91006,All Ages,73,24.29998779,6037,Los Angeles
2009,91006,Children (0-17),31,45.09997559,6037,Los Angeles
2009,91007,Adults (18+),30,12.3999939,6037,Los Angeles
2009,91007,All Ages,50,18.5,6037,Los Angeles
2009,91007,Children (0-17),20,36.29998779,6037,Los Angeles
2009,91010,Adults (18+),72,36.19998169,6037,Los Angeles
2009,91010,All Ages,114,41.3999939,6037,Los Angeles
2009,91010,Children (0-17),42,56.29998779,6037,Los Angeles
2009,91011,Adults (18+),,,6037,Los Angeles
